,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
650,Miracle on 34th Street,1947,96,7.9,88,39375,2.65
651,Modern Times,1936,87,8.5,96,214477,0.16
652,King Kong,1933,100,7.9,90,78190,10.0
653,Double Indemnity,1944,107,8.3,95,141643,5.72
654,Rope,1948,80,8.0,73,127946,
655,Cabaret,1972,124,7.8,80,47770,42.77
656,8½,1963,138,8.0,91,107621,0.05
657,Dead Man,1995,121,7.6,62,89509,1.04
658,Three Colors: Blue,1993,94,7.9,85,87929,1.32
659,Good Bye Lenin!,2003,121,7.7,68,136810,4.06
660,Castle in the Sky,1986,125,8.0,78,147673,
661,Hero,2002,120,7.9,85,172981,53.71
662,The Killing,1956,84,8.0,91,80660,
663,Lucky Number Slevin,2006,110,7.7,53,298088,22.49
664,Paprika,2006,90,7.7,81,69869,0.88
665,Victoria,2015,138,7.6,77,51851,
666,Dilwale Dulhania Le Jayenge,1995,181,8.1,1,62767,
667,In the Heat of the Night,1967,110,7.9,75,66932,24.38
668,Short Term 12,2013,96,8.0,82,80722,1.01
669,The Man Who Shot Liberty Valance,1962,123,8.1,94,67966,
670,Perfect Strangers,2016,96,7.8,1,55655,
671,Being There,1979,130,8.0,83,64879,30.18
672,Mary and Max,2009,92,8.1,1,162710,
673,Wings of Desire,1987,128,8.0,79,63822,3.33
674,PK,2014,153,8.1,1,159873,10.62
675,Frankenstein,1931,70,7.8,91,64611,
676,The Maltese Falcon,1941,100,8.0,96,147715,2.11
677,Ray,2004,152,7.7,73,137133,75.33
678,The Muppet Christmas Carol,1992,85,7.7,64,46794,27.28
679,What Ever Happened to Baby Jane?,1962,134,8.1,75,49540,4.05
680,Zulu,1964,138,7.7,77,35508,
681,Delicatessen,1991,99,7.6,66,79762,1.79
682,My Left Foot,1989,103,7.9,97,67069,14.74
683,The Remains of the Day,1993,134,7.8,84,64957,22.95
684,La Vie En Rose,2007,140,7.6,66,82020,10.3
685,Black Book,2006,145,7.7,71,72107,4.4
686,Run Lola Run,1998,80,7.6,77,187142,7.27
687,K.G.F: Chapter 1,2018,156,8.2,1,33577,
688,In a Lonely Place,1950,94,8.0,1,26102,
689,Kubo and the Two Strings,2016,101,7.8,84,116505,48.02
690,Mommy,2014,139,8.1,74,49648,3.49
691,The Wind Rises,2013,126,7.8,83,71849,5.21
692,Song of the Sea,2014,93,8.1,85,50151,0.86
693,Yojimbo,1961,110,8.2,1,109449,
694,Blow-Up,1966,111,7.6,82,55742,
695,The Hurricane,1999,146,7.6,74,90749,50.67
696,The Manchurian Candidate,1962,126,7.9,94,70667,
697,Rashomon,1950,88,8.2,98,150415,0.1
698,Sabrina,1954,113,7.7,72,58448,
699,Ikiru,1952,143,8.3,1,67011,0.06
700,Pink Floyd: The Wall,1982,95,8.1,47,75409,22.24
701,The Straight Story,1999,112,8.0,86,80907,6.2
702,Judgment at Nuremberg,1961,179,8.2,60,68473,
703,The Innocents,1961,100,7.8,88,26644,2.62
704,Mr. Smith Goes to Washington,1939,129,8.1,73,105699,9.6
705,The Wave,2008,107,7.6,1,101746,
706,The Celebration,1998,105,8.0,82,77169,1.65
707,Mysterious Skin,2004,105,7.6,73,65517,0.7
708,Manhattan,1979,96,7.9,83,130297,45.7
709,Drishyam,2015,163,8.2,1,68104,0.74
710,Harold and Maude,1971,91,7.9,62,70122,
711,Once Were Warriors,1994,102,7.9,77,31255,2.2
712,Bicycle Thieves,1948,89,8.3,1,143995,0.33
713,Touch of Evil,1958,95,8.0,99,97651,2.24
714,Wild Strawberries,1957,91,8.2,88,94557,
715,The Mirror,1975,107,8.1,1,39050,0.18
716,The Secret World of Arrietty,2010,94,7.6,80,79237,19.2
717,Amour,2012,127,7.9,94,92067,6.74
718,Notorious,1946,102,7.9,100,91373,10.46
719,Nebraska,2013,115,7.7,87,111428,17.65
720,The Quiet Man,1952,129,7.7,1,34213,10.55
721,The Killing Fields,1984,141,7.8,76,51072,34.7
722,Pride,2014,119,7.8,79,51152,
723,Strangers on a Train,1951,101,7.9,88,122246,7.63
724,Hamlet,1996,242,7.7,1,35762,4.41
725,Breaking the Waves,1996,159,7.8,76,61735,4.04
726,Thank You for Smoking,2005,92,7.6,71,211911,24.79
727,The Muppet Movie,1979,95,7.6,74,32320,76.66
728,Children of Heaven,1997,89,8.3,77,63856,0.93
729,The Man from Nowhere,2010,119,7.8,1,61878,0.01
730,Paper Moon,1973,102,8.1,77,41752,30.93
731,Three Colors: Red,1994,99,8.1,100,89208,4.04
732,The Big Sleep,1946,114,7.9,1,78117,6.54
733,The Treasure of the Sierra Madre,1948,126,8.2,98,112916,5.01
734,High and Low,1963,143,8.4,1,32896,
735,Anatomy of a Murder,1959,161,8.0,95,59146,11.9
736,Baahubali 2: The Conclusion,2017,167,8.2,1,73810,20.19
737,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,191033,52.04
738,Stalag 17,1953,120,8.0,84,50702,
739,Fearless,2006,104,7.6,70,72463,24.63
740,Le Samouraï,1967,101,8.1,1,44686,0.04
741,Loving Vincent,2017,94,7.8,62,49578,6.74
742,The Chaser,2008,125,7.8,64,57341,
743,The Tenant,1976,126,7.7,71,39229,1.92
744,Repulsion,1965,105,7.7,91,48379,
745,Once,2007,86,7.8,88,109885,9.44
746,It Happened One Night,1934,105,8.1,87,92617,4.36
747,Waking Life,2001,99,7.8,83,60286,2.89
748,Belle de Jour,1967,100,7.7,1,39656,0.03
749,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,1,37604,
750,The Philadelphia Story,1940,112,7.9,96,62723,
751,Happiness,1998,134,7.7,81,65920,2.81
752,A Very Long Engagement,2004,133,7.6,76,70530,6.17
753,Tokyo Story,1953,136,8.2,1,51876,
754,The Invisible Man,1933,71,7.7,87,30120,
755,The Day of the Jackal,1973,143,7.8,80,36967,16.06
756,Dead Man's Shoes,2004,90,7.6,52,48951,0.01
757,Short Cuts,1993,188,7.7,79,41954,6.11
758,The Double Life of Véronique,1991,98,7.8,86,41423,2.0
759,East of Eden,1955,118,7.9,72,39840,
760,Andrei Rublev,1966,205,8.1,1,45843,0.1
761,The Day the Earth Stood Still,1951,92,7.7,1,75809,
762,The Legend of 1900,1998,169,8.1,58,58228,0.26
763,City Lights,1931,87,8.5,99,165278,0.02
764,The Night of the Hunter,1955,92,8.0,99,81006,0.65
765,"Aguirre, the Wrath of God",1972,95,7.9,1,51693,
766,Whisper of the Heart,1995,111,7.9,75,50422,
767,Who's Afraid of Virginia Woolf?,1966,131,8.0,75,68403,
768,Watership Down,1978,91,7.6,64,33343,
769,Guess Who's Coming to Dinner,1967,108,7.8,63,39031,56.7
770,Vikram Vedha,2017,147,8.5,1,26260,
771,Stagecoach,1939,96,7.8,93,42940,
772,Tangerines,2013,87,8.2,73,38790,0.14
773,The 400 Blows,1959,99,8.1,1,103499,
774,All About My Mother,1999,101,7.8,87,88143,8.26
775,Land of Mine,2015,100,7.8,75,34701,0.44
776,Fallen Angels,1995,99,7.7,71,25430,
777,Philomena,2013,98,7.6,77,93462,37.71
778,The Kid,1921,68,8.3,1,111252,5.45
779,The Vanishing,1988,107,7.7,1,33529,
780,The Red Shoes,1948,135,8.1,1,30430,10.9
781,Infernal Affairs,2002,101,8.0,75,117098,0.17
782,Sympathy for Mr. Vengeance,2002,129,7.6,56,61854,0.05
783,Withnail & I,1987,107,7.7,84,39822,1.54
784,The Lion in Winter,1968,134,7.9,1,28685,22.28
785,A Man for All Seasons,1966,120,7.7,72,30892,28.35
786,3-Iron,2004,88,8.0,72,49483,0.24
787,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85,76360,2.38
788,The Diving Bell and the Butterfly,2007,112,8.0,92,102599,5.99
789,The Message,1976,177,8.2,1,43428,
790,All Quiet on the Western Front,1930,152,8.0,91,56819,3.27
791,Joyeux Noel,2005,116,7.7,70,27333,1.05
792,Control,2007,122,7.7,78,61114,0.87
793,Fitzcarraldo,1982,158,8.1,1,31073,
794,The Taking of Pelham One Two Three,1974,104,7.7,68,26177,
795,Shadow of a Doubt,1943,108,7.8,94,58751,
796,The Cabinet of Dr. Caligari,1920,67,8.1,1,56641,
797,Hannah and Her Sisters,1986,107,7.9,90,66469,40.08
798,The Verdict,1982,129,7.7,77,35601,54.0
799,Talk to Her,2002,112,7.9,86,103737,9.28
800,The White Ribbon,2009,144,7.8,82,68004,2.22
801,On Golden Pond,1981,109,7.6,68,27320,119.29
802,The Station Agent,2003,89,7.6,81,66985,5.74
803,Eyes Without a Face,1960,90,7.7,90,27138,0.05
804,Night on Earth,1991,129,7.8,68,54614,2.02
805,Underground,1995,167,8.1,1,54630,0.17
806,Porco Rosso,1992,94,7.7,83,75959,
807,The Long Goodbye,1973,112,7.6,87,25748,0.96
808,Out of the Past,1947,97,8.0,1,32327,
809,Cat on a Hot Tin Roof,1958,108,8.0,84,44479,17.57
810,The Battle of Algiers,1966,121,8.1,96,52108,0.06
811,"I, Daniel Blake",2016,100,7.9,78,52581,0.26
812,The Grapes of Wrath,1940,129,8.0,96,85079,0.06
813,His Girl Friday,1940,92,7.9,1,52894,0.3
814,A Prophet,2009,155,7.9,90,92730,2.08
815,The Odd Couple,1968,105,7.7,86,31246,44.53
816,The African Queen,1951,105,7.7,91,70781,0.54
817,The Bride of Frankenstein,1935,75,7.8,95,43058,4.36
818,When Marnie Was There,2014,103,7.7,72,31673,0.77
819,Gilda,1946,110,7.7,1,27595,
820,Laura,1944,88,8.0,1,42217,4.36
821,Lilya 4-Ever,2002,109,7.8,82,42273,0.18
822,Leviathan,2014,140,7.6,92,48683,1.09
823,Invasion of the Body Snatchers,1956,80,7.7,92,44432,
824,The Tale of The Princess Kaguya,2013,137,8.0,89,37494,1.51
825,Secrets & Lies,1996,136,8.0,91,36987,13.42
826,Cape Fear,1962,106,7.7,76,26093,
827,The Broken Circle Breakdown,2012,111,7.8,70,38997,0.18
828,Loveless,2017,127,7.6,86,29116,0.57
829,The Conformist,1970,113,8.0,100,26584,0.54
830,The Secret of Kells,2009,75,7.6,81,30858,0.69
831,Elite Squad,2007,115,8.1,33,97309,0.01
832,Three Colors: White,1994,92,7.6,88,63018,1.46
833,Lagaan: Once Upon a Time in India,2001,224,8.1,84,103753,0.07
834,Rififi,1955,118,8.2,97,27693,0.06
835,No Man's Land,2001,98,7.9,84,44268,1.06
836,Gully Boy,2019,153,8.1,65,30778,5.57
837,Ivan's Childhood,1962,84,8.1,1,30948,
838,Once Upon a Time in Anatolia,2011,157,7.9,82,40704,0.14
839,The Salesman,2016,124,7.8,85,49931,2.4
840,Amarcord,1973,123,7.9,1,39362,
841,Evil,2003,113,7.8,61,35364,0.02
842,The Sea Inside,2004,126,8.0,74,76914,2.09
843,Bringing Up Baby,1938,102,7.9,91,54444,
844,Hedwig and the Angry Inch,2001,95,7.7,85,31724,3.03
845,Ayla: The Daughter of War,2017,125,8.4,1,33039,
846,Rockstar,2011,159,7.7,1,38851,0.99
847,Diabolique,1955,117,8.0,1,60995,
848,The Wages of Fear,1953,131,8.1,85,53756,
849,Mustang,2015,97,7.6,83,35151,0.85
850,The Adventures of Robin Hood,1938,102,7.9,97,46753,3.98
851,The Bandit,1996,128,8.2,1,62989,
852,After the Wedding,2006,120,7.7,78,31667,0.41
853,The Motorcycle Diaries,2004,126,7.8,75,95993,16.76
854,Down by Law,1986,107,7.8,75,47340,1.44
855,The Return,2003,110,8.0,82,41875,0.5
856,The World's Fastest Indian,2005,127,7.8,68,51603,5.13
857,The Hidden Fortress,1958,126,8.1,1,34061,
858,Brief Encounter,1945,86,8.0,92,35031,
859,Death Note,2006,126,7.7,1,28420,
860,The Experiment,2001,120,7.7,60,90369,0.14
861,Adam's Apples,2005,94,7.8,51,45021,0.0
862,Arsenic and Old Lace,1944,118,8.0,1,64586,
863,The Ladykillers,1955,91,7.7,91,25946,
864,The Thin Man,1934,91,8.0,86,26081,
865,Head-On,2004,121,7.9,78,50785,
866,Kagemusha,1980,162,8.0,84,31746,
867,In a Better World,2010,118,7.6,65,38245,1.01
868,Kal ho naa ho,2003,186,8.0,54,62664,1.79
869,Wolf Children,2012,117,8.1,71,38040,
870,Love Me If You Dare,2003,93,7.6,45,66875,0.55
871,Chhichhore,2019,143,8.2,1,31691,0.9
872,Shine,1996,105,7.7,87,50908,35.81
873,Crimes and Misdemeanors,1989,104,7.9,77,54099,18.25
874,Red River,1948,133,7.8,1,27766,
875,To Be or Not to Be,1942,99,8.2,86,28821,
876,The 39 Steps,1935,86,7.6,93,51176,
877,Duck You Sucker,1971,138,7.6,77,29722,0.7
878,The Chorus,2004,97,7.9,56,56796,3.64
879,Darbareye Elly,2009,119,8.0,87,44682,0.11
880,To Have and Have Not,1944,100,7.8,1,30654,
881,Throne of Blood,1957,110,8.1,1,45877,
882,L'Avventura,1960,144,7.9,1,26091,
883,Wait Until Dark,1967,108,7.8,81,27463,17.55
884,Departures,2008,130,8.1,68,48112,1.5
885,Rang De Basanti,2006,167,8.2,1,110438,2.2
886,Ninja Scroll,1993,94,7.9,1,34181,
887,Joint Security Area,2000,110,7.8,58,26047,
888,Sholay,1975,162,8.2,1,50726,
889,Cowboy Bebop: The Movie,2001,115,7.9,61,42434,1.0
890,Cries & Whispers,1972,91,8.1,1,29643,1.74
891,Zindagi Na Milegi Dobara,2011,155,8.1,1,66701,3.11
892,The Lady Vanishes,1938,96,7.8,1,46766,
893,Only Yesterday,1991,118,7.6,90,26245,0.45
894,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97,56041,1.19
895,Vivre Sa Vie,1962,85,8.0,1,27406,
896,Sweet Smell of Success,1957,96,8.1,100,27661,
897,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93,37978,0.2
898,My Name Is Khan,2010,165,8.0,50,97538,4.02
899,My Father and My Son,2005,112,8.3,1,77415,
900,The Passion of Joan of Arc,1928,114,8.1,1,46723,0.02
901,The Circus,1928,72,8.1,90,29197,
902,Sleuth,1972,138,8.0,1,44420,4.08
903,Jab We Met,2007,138,7.9,1,47086,0.41
904,Persepolis,2007,96,8.0,90,87793,4.45
905,Key Largo,1948,100,7.8,1,36645,
906,Confessions,2010,106,7.8,1,35296,
907,Celda 211,2009,113,7.6,1,63369,
908,The Lunchbox,2013,104,7.8,76,49734,4.23
909,"Black Cat, White Cat",1998,127,8.1,73,50302,0.35
910,La Strada,1954,108,8.0,1,57644,
911,Duck Soup,1933,69,7.8,93,55191,
912,The Gold Rush,1925,95,8.2,1,99300,5.45
913,The Girl Who Leapt Through Time,2006,98,7.7,1,59491,
914,Batman: Mask of the Phantasm,1993,76,7.8,1,43095,5.62
915,The General,1926,67,8.1,1,79914,1.03
916,Battleship Potemkin,1925,66,8.0,97,52447,0.05
917,Raise the Red Lantern,1991,125,8.1,1,29188,2.6
918,Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71,26424,
919,Uri: The Surgical Strike,2018,138,8.3,1,42304,4.19
920,Inherit the Wind,1960,128,8.1,75,26986,
921,Interstate 60: Episodes of the Road,2002,116,7.7,1,29680,
922,Ace in the Hole,1951,111,8.1,72,31070,3.97
923,Au Revoir les Enfants,1987,104,8.0,88,30821,4.54
924,M.S. Dhoni: The Untold Story,2016,184,7.8,1,38802,1.78
925,The Shop Around the Corner,1940,99,8.1,96,27230,0.2
926,Hard Boiled,1992,128,7.8,1,46311,
927,Harvey,1950,104,7.9,1,52257,
928,Tokyo Godfathers,2003,92,7.8,73,30444,0.13
929,The Purple Rose of Cairo,1985,82,7.7,75,46627,10.63
930,The Lost Weekend,1945,101,7.9,1,33163,9.46
931,Sunrise,1927,94,8.1,1,46472,0.54
932,Barfi!,2012,151,8.1,1,74842,2.8
933,The Magdalene Sisters,2002,114,7.7,83,25756,4.89
934,G.O.R.A.,2004,127,8.0,1,55908,
935,Hera Pheri,2000,156,8.2,1,56033,
936,Il Postino,1994,108,7.7,81,33219,21.85
937,Talvar,2015,132,8.2,1,30562,0.34
938,Munna Bhai M.B.B.S.,2003,156,8.1,1,72930,
939,Anand,1971,122,8.4,1,29291,
940,The Virgin Spring,1960,89,8.1,1,26359,1.53
941,Pink,2016,136,8.1,1,38385,1.24
942,My Sassy Girl,2001,137,8.0,1,45046,
943,In America,2002,105,7.7,76,40249,15.54
944,Veer-Zaara,2004,192,7.8,67,48408,2.92
945,Bhaag Milkha Bhaag,2013,186,8.2,1,60289,1.63
946,The Exterminating Angel,1962,95,8.1,1,29261,
947,The Visitor,2007,104,7.6,79,41362,9.42
948,Queen,2013,146,8.2,1,60103,1.43
949,Nights of Cabiria,1957,110,8.1,1,42367,0.75
950,Jules and Jim,1962,105,7.8,97,37015,
951,Badhaai Ho,2018,124,8.0,1,27117,
952,The Past,2013,130,7.8,85,44560,1.33
953,Love and Death,1975,85,7.7,89,35642,
954,Swades,2004,189,8.2,1,82139,1.22
955,The Triplets of Belleville,2003,80,7.8,91,50248,7.0
956,Knockin' on Heaven's Door,1997,87,8.0,1,27369,0.0
957,Kai Po Che,2013,120,7.7,40,31586,1.12
958,Elite Squad 2: The Enemy Within,2010,115,8.0,71,78694,0.1
959,Haider,2014,160,8.1,1,49913,0.9
960,Dil Chahta Hai,2001,183,8.1,1,66062,0.3
961,Sanjuro,1962,96,8.1,1,32296,
962,Sherlock Jr.,1924,45,8.2,1,40852,0.98
963,Hiroshima Mon Amour,1959,90,7.9,1,27923,0.09
964,Lifeboat,1944,97,7.6,78,26191,
965,White Heat,1949,114,8.1,1,29349,
966,Fireworks,1997,103,7.8,1,27351,0.23
967,La Grande Illusion,1937,113,8.1,1,33496,0.17
968,Baby,2015,159,8.0,1,52287,
969,The Killer,1989,111,7.8,82,45313,
970,Central Station,1998,110,8.0,80,35904,5.6
971,Bajrangi Bhaijaan,2015,163,8.0,1,71020,8.18
972,Vampire Hunter D: Bloodlust,2000,103,7.7,62,28944,0.15
973,Zelig,1983,79,7.7,1,39551,11.8
974,Nine Queens,2000,114,7.9,80,49256,1.22
975,Kahaani,2012,122,8.1,1,57107,1.04
976,The Rules of the Game,1939,110,8.0,1,26403,
977,C.R.A.Z.Y.,2005,129,7.9,81,31320,
978,English Vinglish,2012,134,7.8,1,33155,1.67
979,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64,37581,1.11
980,Udaan,2010,134,8.2,1,41939,0.01
981,Chak De! India,2007,153,8.2,68,73148,1.11
982,A Night at the Opera,1935,96,7.9,1,30253,2.54
983,Andaz Apna Apna,1994,160,8.2,1,48802,
984,A Wednesday,2008,104,8.1,1,73247,
985,Udta Punjab,2016,148,7.8,1,26725,
986,Kind Hearts and Coronets,1949,106,8.0,1,34101,
987,Drishyam,2013,160,8.3,1,30220,
988,OMG: Oh My God!,2012,125,8.1,1,50753,0.92
989,Special 26,2013,144,8.0,1,50344,1.08
990,Black,2005,122,8.2,1,33115,0.73
991,The Edge of Heaven,2007,122,7.8,85,30557,0.74
992,Airlift,2016,130,8.0,1,52395,
993,Le Dîner de Cons,1998,80,7.7,73,36968,4.07
994,Dev.D,2009,144,8.0,1,28458,0.01
995,Paan Singh Tomar,2012,135,8.2,1,32800,0.04
996,Vicky Donor,2012,126,7.8,1,39273,0.17
997,Vizontele,2001,110,8.0,1,32809,
998,Lage Raho Munna Bhai,2006,144,8.1,1,42515,2.22
999,The Breath,2009,128,8.0,1,31500,
